Column,Missing,Percentage
Age,0,0.0
Gender,0,0.0
Marital_Status,0,0.0
Department,0,0.0
Job_Role,0,0.0
Job_Level,0,0.0
Monthly_Income,0,0.0
Hourly_Rate,0,0.0
Years_at_Company,0,0.0
Years_in_Current_Role,0,0.0
Years_Since_Last_Promotion,0,0.0
Work_Life_Balance,0,0.0
Job_Satisfaction,0,0.0
Performance_Rating,0,0.0
Training_Hours_Last_Year,0,0.0
Overtime,0,0.0
Project_Count,0,0.0
Average_Hours_Worked_Per_Week,0,0.0
Absenteeism,0,0.0
Work_Environment_Satisfaction,0,0.0
Relationship_with_Manager,0,0.0
Job_Involvement,0,0.0
Distance_From_Home,0,0.0
Number_of_Companies_Worked,0,0.0
Attrition,0,0.0
